,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
1678,adult-onset neuronal ceroid lipofuscinosis,normal-pressure hydrocephalus,disease,disease,disease_disease,39470529,C0751383,C0020258,neuronal ceroid lipofuscinosis,normal pressure hydrocephalus,entity1:neuronal ceroid lipofuscinosis|entity2:normal pressure hydrocephalus
1680,methylprednisolone,no effect,drug,phenotype,drug_effect,39470529,in_kg,C1301751,,,
1785,cerliponase alfa,lower extremity strength,drug,phenotype,drug_effect,39762319,in_kg,C1866010|C4061111,,Proximal lower limb muscle weakness,Proximal lower limb muscle weakness
1786,cerliponase alfa,ankle stiffness,drug,phenotype,drug_effect,39762319,in_kg,C0427032,,Stiff ankle,Stiff ankle
1787,cerliponase alfa,declined sit-to-stand performance,drug,phenotype,drug_effect,39762319,in_kg,C4476709,,Delayed ability to stand,Delayed ability to stand
1838,CLN3,intestinal stem cell activation,protein/gene,biological_process,bioprocess_protein,39917569,in_kg,C3549197,,intestinal stem cell homeostasis,intestinal stem cell homeostasis
1851,cerliponase alfa,slowed motor decline,drug,protein/gene,drug_effect,40162009,in_kg,C1866284,,Motor deterioration,Motor deterioration
1853,Neuronal ceroid lipofuscinosis,lipofuscin accumulation,disease,phenotype,disease_phenotype_positive,40166029,in_kg,C4023177|C5936774,,Increased cerebral lipofuscin,Increased cerebral lipofuscin
1896,metformin,behavior improvement,drug,phenotype,off_label_use,40346285,in_kg,C5546893,,,
1897,cerliponase alfa,slowed disease progression,drug,phenotype,drug_effect,40355884,in_kg,C1854494|C4025580,,Pace of progression,Pace of progression
1907,increased astrogliosis,retina,protein/gene,anatomy,anatomy_protein_present,40358187,C2750915,in_kg,Basal ganglia gliosis,,Basal ganglia gliosis
